"log.r","log.Cr.2","log.Cr.3","log.Cr.4","log.Cr.5","log.Cr.6","log.Cr.7","log.Cr.8","log.Cr.9","log.Cr.10","log.Cr.11","log.Cr.12","log.Cr.13","log.Cr.14","log.Cr.15","log.Cr.16","log.Cr.17","log.Cr.18","log.Cr.19","log.Cr.20"
-7.51515151515151,-5.79947026844972,-11.2640190333624,-16.560680904948,-21.7520082605071,-26.8697287751585,-31.9330278497666,-36.9547412149559,-41.9439312768526,-46.9071912209897,-51.8494190102931,-56.7743207368478,-61.68475133635,-66.5829490675906,-71.4706984410568,-76.3494444850469,-81.2203737606472,-86.0844725426137,-90.9425692169798,-95.7953656794282
-7.39393939393939,-5.6789522900142,-11.0291467420256,-16.2159454859396,-21.3009753506206,-26.3150376986187,-31.2765756113001,-36.1978710192707,-41.087587060703,-45.9520309495642,-50.7958937955324,-55.6227302354334,-60.4352838351817,-65.2357116301573,-70.0257402147364,-74.8067749332359,-79.5799768925086,-84.3463178764382,-89.1066200462812,-93.8615851177167
-7.27272727272727,-5.55930670640939,-10.7956347971075,-15.8720402116686,-20.8497543150274,-25.759173704195,-30.6183773133656,-35.4393401156828,-40.2304701909988,-44.9978591247393,-49.746009761093,-54.4783073081123,-59.1973399896876,-63.905121625619,-68.6032473843722,-73.2930033359131,-77.9754439237401,-82.6514471104635,-87.3217539506056,-91.9869972738872
-7.15151515151515,-5.4403143420519,-10.5604007939233,-15.5228578307977,-20.388809153295,-25.1883311965534,-29.9390427949966,-34.6524130560021,-39.3363701306557,-43.9965884440572,-48.6372287031555,-53.2614084440751,-57.8715165921215,-62.469427957206,-67.056650426937,-71.6344261110603,-76.2038008406682,-80.7656719388545,-85.3208211285067,-89.8699373376077
-7.03030303030303,-5.31975308934998,-10.32349696419,-15.1727486085576,-19.9279535491584,-24.6185720660994,-29.2616695405889,-33.8682441680058,-38.4458453358187,-42.9998537268443,-47.5342063748271,-52.0518522227616,-56.5550547802783,-61.0455980034562,-65.5249273142897,-69.9942460885688,-74.4545813353057,-78.9068280820696,-83.3517791449108,-87.7901449941692
-6.90909090909091,-5.20012606855108,-10.0893884050323,-14.8271470148362,-19.47221599459,-24.0529447804003,-28.5856807617898,-33.0810138742767,-37.5463179882093,-41.9869544374942,-46.4069328466603,-50.8093203849555,-55.1965144780138,-59.5704308889237,-63.9326350445354,-68.2844339481894,-72.6269404278811,-76.9611179828744,-81.2878121109823,-85.6077723056546
-6.78787878787879,-5.08190334717191,-9.8567473828383,-14.4821001784771,-19.0158059074673,-23.4854792567466,-27.9070038285084,-32.290772507944,-36.6441719309657,-40.9727087582939,-45.2805993282031,-49.5711260947196,-53.8468773466096,-58.1099184919797,-62.3619179701021,-66.6042408935085,-70.838018989309,-75.0642029174643,-79.2836014398614,-83.4969107814406
-6.66666666666667,-4.9654812831679,-9.62812392855572,-14.1432135322954,-18.567504191679,-22.9281208601992,-27.240769884392,-31.5158501068501,-35.7608607515716,-39.9814677311124,-44.1820493419042,-48.3660262172029,-52.5360892073931,-56.6943686571304,-60.8425637115273,-64.9820416297873,-69.1139138331765,-73.2390938516733,-77.3583412945463,-81.4722951347073
-6.54545454545454,-4.84728041438799,-9.39358183802855,-13.7936824024426,-18.1036644267329,-22.3502409361631,-26.5489432247407,-30.7101598362374,-34.841474722092,-38.9486780412301,-43.0362752790008,-47.107797756425,-51.1660231255002,-55.2131441826638,-59.2509008928366,-63.2806833944218,-67.3036116351889,-71.3205964020456,-75.3323858072499,-79.3396005942885
-6.42424242424242,-4.72982853581915,-9.16271342054208,-13.4506493041887,-17.6487907404173,-21.7836136361512,-25.8706653279413,-29.9204223852221,-33.9405585502028,-37.936932164122,-41.914091372464,-45.8755881404898,-49.8242041531006,-53.762124584193,-57.6910739002478,-61.6124214843831,-65.5272630042106,-69.4364825834455,-73.3408000731625,-77.2408069410451
-6.3030303030303,-4.61168053431236,-8.92902145270071,-13.1022656269037,-17.1858894918456,-21.2061812283225,-25.178689321858,-29.1139204128822,-33.0195598363853,-36.9014578801301,-40.7641451795864,-44.6111556126098,-48.4452570567709,-52.2686267156281,-56.0829865501188,-59.889707695633,-63.6898904512169,-67.4844252266176,-71.2740388603685,-75.0593298351053
